timestamp_sec,model_name,ns3_node_id,robot_x,robot_y,robot_z,distance_to_base,rssi_dbm,snr_db,packets_sent,packets_received,packets_lost,packet_loss_rate
30.8783,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8783,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8783,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8793,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8793,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8793,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8793,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8803,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8803,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8803,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8803,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8813,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8813,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8813,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8813,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8823,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8823,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8823,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8823,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8833,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8833,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8833,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8833,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8843,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8843,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8843,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8843,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8853,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8853,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8853,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8853,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8863,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8863,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8863,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8863,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8873,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8873,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8873,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8873,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8883,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8883,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8883,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8883,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8893,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8893,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
